Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-149.4ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-148.3ms,Serial1,0CEFFF00,Data,8,64 06 3B 7D FF FF FF FF,30A9,
,-148.3ms,Serial1,18FEF200,Data,8,28 00 FF FF FF FF FF FF,309D,
,-139.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-139.0ms,Serial1,0CF00400,Data,8,F0 FF A2 1E 1C FF FF FF,41F9,
,-138.3ms,Serial1,04EF0006,Data,8,64 15 1D F0 04 19 A9 0E,2507,
,-129.0ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-128.4ms,Serial1,18EF0600,Data,8,64 06 3B 7D FF FF FF FF 64 0E 53 00 FF FF FF FF,5225,
,-119.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-119.0ms,Serial1,0CF00400,Data,8,F0 FF A2 1A 1C FF FF FF,556B,
,-117.8ms,Serial1,04EF0006,Data,8,64 15 1E F0 04 19 A9 0E,0773,
,-117.6ms,Serial1,,,,1D FF FF FF,7866,
,-117.2ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-116.6ms,Serial1,18F00647,Data,8,FF CF FF FF FF FF FF FF,7671,
,-116.0ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-108.9ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-108.3ms,Serial1,0CEFFF00,Data,8,64 06 3B 7D FF FF FF FF,30A9,
,-108.3ms,Serial1,18EFFF00,Data,8,64 10 01 01 D7 02 05 7D,2D32,
,-107.7ms,Serial1,18FEDF00,Data,8,8A 20 1C FF FF FF FF FF,1619,
,-100.0ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-98.85ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-98.82ms,Serial1,0CF00400,Data,8,F0 FF A2 1A 1C FF FF FF,556B,
,-98.02ms,Serial1,,,,64 15 1F F0 04 19 A9 0E,195F,
,-88.96ms,Serial1,0CEFFF00,Data,8,FF 00 29 FF 07 FF FF FF 64 06 3B 7D FF FF FF FF,30A9,
,-88.38ms,Serial1,18FEEF00,Data,8,FF FF FF 66 FF FF FF FA,00C1,
,-79.58ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-78.98ms,Serial1,0CF00400,Data,8,F0 FF A2 1C 1C FF FF FF,4BB0,
,-77.76ms,Serial1,04EF0006,Data,8,64 15 10 F0 04 19 A9 0E,7762,
,-77.18ms,Serial1,00067F24,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-77.15ms,Serial1,18FFFB06,Data,8,00 05 8A F8 FF FF FF FF,3C11,
,-76.58ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-75.84ms,Serial1,00067F22,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-68.96ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-68.93ms,Serial1,0CEFFF00,Data,8,64 06 3B 7D FF FF FF FF,30A9,
,-59.01ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-58.98ms,Serial1,0CF00400,Data,8,F0 FF A2 1A 1C FF FF FF,556B,
,-58.30ms,Serial1,04EF0006,Data,8,64 15 11 F0 04 19 A9 0E,694E,
,-48.35ms,Serial1,0CEFFF00,Data,8,FF 00 29 FF 07 FF FF FF 64 06 3C 7D FF FF FF FF,6A6D,
,-48.32ms,Serial1,18FEF200,Data,8,29 00 FF FF FF FF FF FF,67AD,
,-39.01ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-38.98ms,Serial1,0CF00400,Data,8,F0 FF A2 18 1C FF FF FF,5F22,
,-37.76ms,Serial1,04EF0006,Data,8,64 15 12 F0 04 19 A9 0E,4B3A,
,-37.73ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-37.15ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-29.50ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-28.93ms,Serial1,0CEFFF00,Data,8,64 06 3C 7D FF FF FF FF,6A6D,
,-28.35ms,Serial1,18EF0600,Data,8,64 0E 5D 00 FF FF FF FF,2234,
,-19.01ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-18.98ms,Serial1,0CF00400,Data,8,F0 FF A2 20 1C FF FF FF,4547,
,-18.30ms,Serial1,04EF0006,Data,8,64 15 13 F0 04 19 A9 0E,5516,
,-8.896ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,-8.320ms,Serial1,0CEFFF00,Data,8,64 06 3A 7D FF FF FF FF,2E85,
,-7.744ms,Serial1,18EFFF00,Data,8,64 10 01 01 D8 02 05 7D,4783,
,-7.712ms,Serial1,18FEF600,Data,8,FF 00 38 FF 00 FF FF FF,6B48,
,-32.00us,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,1.088ms,Serial1,0CF00400,Data,8,F0 FF A2 26 1C FF FF FF,5B9C,
,1.120ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,1.792ms,Serial1,04EF0006,Data,8,64 15 14 F0 0B 19 A9 0E,6563,
,2.336ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,11.01ms,Serial1,18EFFA00,Data,8,64 01 FF 00 00 FF FF FF,159B,
,11.58ms,Serial1,0CF00300,Data,8,64 06 39 7D FF FF FF FF FF 00 29 FF 07 FF FF FF,0463,
,20.99ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,21.02ms,Serial1,0CF00400,Data,8,F0 FF A1 22 1C FF FF FF,6D7A,
,21.66ms,Serial1,04EF0006,Data,8,64 15 15 F0 0B 19 A9 0E,7B4F,
,30.69ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,31.26ms,Serial1,0CEFFF00,Data,8,64 06 3A 7D FF FF FF FF,2E85,
,40.38ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,40.99ms,Serial1,0CF00400,Data,8,F0 FF A2 26 1C FF FF FF,5B9C,
,41.66ms,Serial1,04EF0006,Data,8,64 15 16 F0 0B 19 A9 0E,593B,
,42.21ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,42.78ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,43.39ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,?,Serial1,,,,FF FF FF FF,309D,
,61.00ms,Serial1,0CF00400,Data,8,01 01 FF FF FF FF FF F5 F0 FF A1 28 1C FF FF FF,4E17,
,61.68ms,Serial1,04EF0006,Data,8,64 15 17 F0 0B 19 A9 0E,4717,
,70.51ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,71.08ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,71.66ms,Serial1,18EF0600,Data,8,64 0E 67 00 FF FF FF FF,551A,
,81.00ms,Serial1,0CF00400,Data,8,01 01 FF FF FF FF FF F5 F0 FF A1 22 1C FF FF FF,6D7A,
,81.68ms,Serial1,04EF0006,Data,8,64 15 18 F0 11 19 A9 0E,4231,
,82.76ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,82.80ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,83.37ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,91.05ms,Serial1,0CEFFF00,Data,8,FF 00 29 FF 07 FF FF FF 64 06 39 7D FF FF FF FF,0CF1,
,91.63ms,Serial1,18EFFF00,Data,8,64 10 01 01 D7 02 05 7D,2D32,
,100.1ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,101.1ms,Serial1,0CF00400,Data,8,F0 FF A1 22 1C FF FF FF,6D7A,
,101.2ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,101.8ms,Serial1,04EF0006,Data,8,64 15 19 F0 0B 19 A9 0E,3706,
,110.6ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,111.2ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,111.8ms,Serial1,18FEEE00,Data,8,38 37 FF FF FF FF FF FF,23C1,
,121.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,121.0ms,Serial1,0CF00400,Data,8,F0 FF A1 28 1C FF FF FF,4E17,
,122.2ms,Serial1,,,,64 15 1A F0 0B 19 A9 0E,1572,
,122.3ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,122.8ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,123.4ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,131.1ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,131.1ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,141.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,141.0ms,Serial1,0CF00400,Data,8,F0 FF A1 28 1C FF FF FF,4E17,
,141.6ms,Serial1,18FEDF00,Data,8,8B 20 1C FF FF FF FF FF,4129,
,142.2ms,Serial1,04EF0006,Data,8,64 15 1B F0 11 19 A9 0E,6045,
,148.9ms,Serial1,000E7FFF,Data,8,22 FF FF 3C FF FF FF FF,5690,
,150.5ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,151.7ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,151.7ms,Serial1,18FEF200,Data,8,28 00 FF FF FF FF FF FF,309D,
,161.0ms,Serial1,0CF00400,Data,8,01 01 FF FF FF FF FF F5 F0 FF A1 26 1C FF FF FF,79E8,
,162.2ms,Serial1,04EF0006,Data,8,64 15 1C F0 11 19 A9 0E,3A81,
,162.3ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,162.8ms,Serial1,18FFFB06,Data,8,00 05 89 F8 FF FF FF FF,1E65,
,163.4ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,171.1ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,171.7ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,171.7ms,Serial1,18EF0600,Data,8,64 0E 71 00 FF FF FF FF,7800,
,181.0ms,Serial1,0CF00400,Data,8,01 01 FF FF FF FF FF F5 F0 FF A1 28 1C FF FF FF,4E17,
,181.7ms,Serial1,04EF0006,Data,8,64 15 1D F0 0B 19 A9 0E,4FB6,
,191.1ms,Serial1,0CEFFF00,Data,8,FF 00 28 FF 07 FF FF FF 64 06 38 7D FF FF FF FF,12DD,
,191.6ms,Serial1,18EFFF00,Data,8,64 10 01 01 D8 02 05 7D,4783,
,192.2ms,Serial1,18FEF700,Data,8,FF FF FF FF FF FF 1E 01,5922,
,200.6ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,200.6ms,Serial1,0CF00400,Data,8,F0 FF A1 28 1C FF FF FF,4E17,
,201.1ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,202.4ms,Serial1,,,,64 15 1E F0 11 19 A9 0E,06D9,
,202.5ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,211.1ms,Serial1,0CEFFF00,Data,8,FF 00 29 FF 07 FF FF FF 64 06 38 7D FF FF FF FF,12DD,
,221.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,221.0ms,Serial1,0CF00400,Data,8,F0 FF A1 1C 1C FF FF FF,69C4,
,221.7ms,Serial1,04EF0006,Data,8,64 15 1F F0 11 19 A9 0E,18F5,
,231.1ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
,231.1ms,Serial1,0CEFFF00,Data,8,64 06 3B 7D FF FF FF FF,30A9,
,241.0ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,241.0ms,Serial1,0CF00400,Data,8,F0 FF A2 20 1C FF FF FF,4547,
,242.3ms,Serial1,,,,64 15 10 F0 04 19 A9 0E,7762,
,242.3ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,243.4ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,243.6ms,Serial1,00067F21,Data,8,00 00 FF FF 3F FF FF FF,3824,
,244.0ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,251.2ms,Serial1,0CEFFF00,Data,8,FF 00 29 FF 07 FF FF FF 64 06 39 7D FF FF FF FF,0CF1,
,251.8ms,Serial1,,,,,,
,?,Serial1,,Data,8,01 01 FF FF FF FF FF F5,5242,
,261.0ms,Serial1,0CF00400,Data,8,F0 FF A1 24 1C FF FF FF,73A1,
,261.7ms,Serial1,04EF0006,Data,8,64 15 11 F0 0B 19 A9 0E,03FF,
,271.1ms,Serial1,0CF00300,Data,8,FF 00 29 FF 07 FF FF FF,0463,
